newspaper,e2016,e2012,circulation,date,city,state,lat,lng
New York Daily News,Hillary Clinton,Mitt Romney,674104,7/28/2016,New York,New York,40.702631,-74.010695
Houston Chronicle,Hillary Clinton,Mitt Romney,351000,7/29/2016,Houston,Texas,29.728591,-95.457281
San Francisco Chronicle,Hillary Clinton,Barack Obama,424603,8/5/2016,San Francisco,California,37.782345,-122.406475
Tulsa World,No endorsement,Mitt Romney,95063,8/8/2016,Tulsa,Oklahoma,36.152698,-95.991695
The Press Democrat,Hillary Clinton,No endorsement,55300,8/21/2016,Santa Rosa,California,38.4418,-122.71551
The Caledonian-Record,Gary Johnson,No endorsement,10204,8/9/2016,St. Johnsbury,Vermont,44.305505,-71.781824
Richmond Times-Dispatch,Gary Johnson,Mitt Romney,102586,9/3/2016,Richmond,Virginia,37.542487,-77.440019
The Berkshire Eagle,Hillary Clinton,Barack Obama,32612,9/3/2016,Pittsfield,Massachusetts,42.44651,-73.260863
The Dallas Morning News,Hillary Clinton,Mitt Romney,372277,9/6/2016,Dallas,Texas,32.775184,-96.806273
Daily Camera,Hillary Clinton,Barack Obama,40067,9/10/2016,Boulder,Colorado,40.024636,-105.224165
Winston-Salem Journal,Gary Johnson,Barack Obama,95179,9/11/2016,Winston-Salem,North Carolina,36.098935,-80.248357
New Hampshire Union Leader,Gary Johnson,Mitt Romney,81144,9/15/2016,Manchester,New Hampshire,43.207519,-71.536819
The Repository,No endorsement,No endorsement,86357,9/18/2016,Canton,Ohio,40.795086,-81.37505
Los Angeles Times,Hillary Clinton,Barack Obama,955319,9/23/2016,Los Angeles,California,34.051994,-118.245698
The Cincinnati Enquirer,Hillary Clinton,Mitt Romney,129901,9/23/2016,Cincinnati,Ohio,39.098649,-84.515448
Akron Beacon Journal,Hillary Clinton,Barack Obama,88040,9/24/2016,Akron,Ohio,41.075015,-81.520469
The New York Times,Hillary Clinton,Barack Obama,1119112,9/24/2016,New York,New York,,
Portland Press Herald,Hillary Clinton,No endorsement,57500,9/25/2016,Portland,Maine,,
Kennebec Journal,Hillary Clinton,No endorsement,27500,9/25/2016,Augusta,Maine,,
The Arizona Republic,Hillary Clinton,Mitt Romney,363699,9/27/2016,Phoenix,Arizona,,
The Detroit News,Gary Johnson,Mitt Romney,146962,9/29/2016,Detroit,Michigan,,
The Baltimore Sun,Hillary Clinton,Barack Obama,177054,9/29/2016,Baltimore,Maryland,,
USA Today,Not Donald Trump,No endorsement,958784,9/29/2016,National,National,,
Sun-Sentinel,Hillary Clinton,Mitt Romney,210856,9/30/2016,Fort Lauderdale,Florida,,
Chicago Tribune,Gary Johnson,Barack Obama,769215,9/30/2016,Chicago,Illinois,,
The San Diego Union-Tribune,Hillary Clinton,Mitt Romney,342384,9/30/2016,San Diego,California,,
Chicago Sun-Times,Hillary Clinton,No endorsement,678016,9/30/2016,Chicago,Illinois,,
El Paso Times,Hillary Clinton,Barack Obama,125317,9/30/2016,El Paso,Texas,,
Asheville Citizen-Times,Hillary Clinton,Barack Obama,41505,9/30/2016,Asheville,North Carolina,,
The Desert Sun,Hillary Clinton,Mitt Romney,50000,9/30/2016,Palm Springs,California,,
The Sacramento Bee,Hillary Clinton,Barack Obama,324613,9/30/2016,Sacramento,California,,
The Courier,No endorsement,Mitt Romney,22425,10/1/2016,Findlay,Ohio,,
Corpus Christi Caller-Times,Hillary Clinton,No endorsement,57239,10/1/2016,Corpus Christi,Texas,,
The Charlotte Observer,Hillary Clinton,Barack Obama,191962,10/1/2016,Charlotte,North Carolina,,
The Spectrum,No endorsement,No endorsement,24113,10/1/2016,St. George,Utah,,
San Antonio Express News,Hillary Clinton,Barack Obama,339465,10/2/2016,San Antonio,Texas,,
The News-Gazette,No endorsement,Mitt Romney,42000,10/2/2016,Champaign-Urbana,Illinois,,
The Spokesman-Review,Hillary Clinton,Mitt Romney,95939,10/2/2016,Spokane,Washington,,
Waco Tribune-Herald,No endorsement,Mitt Romney,36065,10/2/2016,Waco,Texas,,
The Bakersfield Californian,No endorsement,No endorsement,47600,10/3/2016,Bakersfield,California,,
Florida Today,No endorsement,No endorsement,89328,10/3/2016,Melbourne,Florida,,
Tampa Bay Times,Hillary Clinton,Barack Obama,403229,10/6/2016,St. Petersburg,Florida,,
Effingham Daily News,Hillary Clinton,No endorsement,12215,10/6/2016,Effingham,Illinois,,
Bangor Daily News,Hillary Clinton,Barack Obama,52695,10/7/2016,Bangor,Maine,,
Hartford Courant,Hillary Clinton,Barack Obama,185757,10/7/2016,Hartford,Connecticut,,
The Denver Post,Hillary Clinton,Barack Obama,600229,10/7/2016,Denver,Colorado,,
The Seattle Times,Hillary Clinton,Barack Obama,336363,10/7/2016,Seattle,Washington,,
Ventura County Star,Hillary Clinton,Barack Obama,80494,10/7/2016,Camarillo,California,,
The Cullman Times,Hillary Clinton,No endorsement,11020,10/7/2016,Cullman,Alabama,,
The Daily Star,Hillary Clinton,No endorsement,16161,10/7/2016,Oneonta,New York,,
The Post-Standard,Hillary Clinton,No endorsement,120363,10/7/2016,Syracuse,New York,,
Santa Barbara News-Press,Donald Trump,Mitt Romney,44912,10/7/2016,Santa Barbara,California,,
Bluefield Daily Telegraph,Hillary Clinton,Mitt Romney,20217,10/8/2016,Bluefield,West Virginia,,
Lockport Union-Sun & Journal,Hillary Clinton,No endorsement,11486,10/8/2016,Lockport,New York,,
Pharos-Tribune,Hillary Clinton,No endorsement,10318,10/8/2016,Logansport,Indiana,,
St. Louis Post-Dispatch,Hillary Clinton,Barack Obama,223826,10/8/2016,St. Louis,Missouri,,
New Castle News,Hillary Clinton,Barack Obama,17409,10/8/2016,New Castle,Pennsylvania,,
The Meadville Tribune,Hillary Clinton,Barack Obama,14228,10/8/2016,Meadville,Pennsylvania,,
Herald-Banner,Hillary Clinton,Barack Obama,8917,10/8/2016,Greenville,Texas,,
The Boston Globe,Hillary Clinton,Barack Obama,382452,10/8/2016,Boston,Massachusetts,,
The Daily Citizen,Hillary Clinton,No endorsement,12789,10/8/2016,Dalton,Georgia,,
The Commercial Appeal,Hillary Clinton,No endorsement,133788,10/8/2016,Memphis,Tennessee,,
The Daily Independent,Hillary Clinton,No endorsement,19469,10/8/2016,Ashland,Kentucky,,
Clinton Herald,Hillary Clinton,No endorsement,11816,10/8/2016,Clinton,Iowa,,
The Fresno Bee,Hillary Clinton,Barack Obama,180043,10/8/2016,Fresno,California,,
Deseret News,Not Donald Trump,No endorsement,102194,10/8/2016,Salt Lake City,Utah,,
Enid News & Eagle,Hillary Clinton,No endorsement,19787,10/8/2016,Enid,Oklahoma,,
The Olympian,Hillary Clinton,Barack Obama,35158,10/8/2016,Olympia,Washington,,
The News Virginian,Hillary Clinton,No endorsement,4700,10/8/2016,Waynesboro,Virginia,,
The News & Observer,Hillary Clinton,Barack Obama,171406,10/8/2016,Raleigh,North Carolina,,
Muskogee Phoenix,Hillary Clinton,No endorsement,14567,10/8/2016,Muskogee,Oklahoma,,
Times-Standard,Hillary Clinton,No endorsement,21623,10/8/2016,Eureka,California,,
Niagara Gazette,Hillary Clinton,No endorsement,38903,10/9/2016,Niagara Falls,New York,,
Kokomo Tribune,Hillary Clinton,No endorsement,22920,10/9/2016,Kokomo,Indiana,,
The Free Press,Hillary Clinton,No endorsement,22396,10/9/2016,Mankato,Minnesota,,
The Tribune-Democrat,Hillary Clinton,Mitt Romney,44037,10/9/2016,Johnstown,Pennsylvania,,
The Plain Dealer,Hillary Clinton,Barack Obama,311605,10/9/2016,Cleveland,Ohio,,
