"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"USA Today","National",3866618,"NT","No endorsement","http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/",38.93222,-77.219023,"In the 34-year history of USA TODAY, the Editorial Board has never taken sides in the presidential race. Instead, we’ve expressed opinions about the major issues and haven’t presumed to tell our readers, who have a variety of priorities and values, which choice is best for them. Because every presidential race is different, we revisit our no-endorsement policy every four years. We’ve never seen reason to alter our approach. Until now."
"The New York Times","New York, NY",1119112,"C","Barack Obama","http://www.nytimes.com/2016/09/25/opinion/sunday/hillary-clinton-for-president.html",40.7560866,-73.9901119,"In any normal election year, we’d compare the two presidential candidates side by side on the issues. But this is not a normal election year. A comparison like that would be an empty exercise in a race where one candidate — our choice, Hillary Clinton — has a record of service and a raft of pragmatic ideas, and the other, Donald Trump, discloses nothing concrete about himself or his plans while promising the moon and offering the stars on layaway. "
"Los Angeles Times","Los Angeles, CA",965598,"C","Barack Obama","http://www.latimes.com/opinion/editorials/la-ed-hillary-endorsement-20160923-snap-story.html",34.053009,-118.244596,"The election of Hillary Clinton as the first female president of the United States would surely be as exhilarating as it is long overdue, a watershed moment in American history after centuries of discrimination against women. But that’s not the chief reason to vote for her. She deserves America’s support because she is the overwhelmingly better candidate. Against a Romney or a McCain, she would almost certainly be our choice. Against Trump? The question answers itself."
"Houston Chronicle","Houston, TX",925085,"C","Mitt Romney","http://www.chron.com/opinion/recommendations/article/For-Hillary-Clinton-8650345.php",29.7870671,-95.6831234,"America&rsquo;s first female president would be in the Oval Office more than a century and a half after a determined group of women launched the women&rsquo;s suffrage movement, almost a century after women in this country won the right to vote. It&rsquo;s a milestone, to be sure. Few could have imagined it would be so consequential."
"Chicago Tribune","Chicago, IL",769215,"J","Barack Obama","http://www.chicagotribune.com/news/opinion/editorials/ct-gary-johnson-president-endorsement-edit-1002-20160930-story.html",41.8826671,-87.6237626,"Theirs is small-L libertarianism, built on individual freedom and convinced that, at both ends of Pennsylvania Avenue, official Washington is clumsy, expensive and demonstrably unable to solve this nation&rsquo;s problems. They speak of reunifying an America now balkanized into identity and economic groups — and of avoiding their opponents&rsquo; bullying behavior and sanctimonious lectures."
"The Dallas Morning News","Dallas, TX",707792,"C","Mitt Romney","http://www.dallasnews.com/opinion/editorials/2016/09/07/recommend-hillary-clinton-us-president",32.7766642,-96.7969879,"Trump&rsquo;s values are hostile to conservatism. He plays on fear — exploiting base instincts of xenophobia, racism and misogyny — to bring out the worst in all of us, rather than the best. His serial shifts on fundamental issues reveal an astounding absence of preparedness. And his improvisational insults and midnight tweets exhibit a dangerous lack of judgment and impulse control."
"San Jose Mercury News","San Jose, CA",634001,"C","Barack Obama","http://www.mercurynews.com/2016/10/21/editorial-hillary-clinton-for-president/",37.3382082,-121.8863286,"Clinton is highly qualified to be president. Trump is utterly unqualified. If he wins – which could happen if enough good citizens stay home Election Day – the shifts in American society affecting minorities, women, immigrants, Muslims and others will sharpen divides among us rather than healing them, as Clinton would try to do."
"The Washington Post","Washington, DC",620041,"C","Barack Obama","https://www.washingtonpost.com/opinions/hillary-clinton-for-president/2016/10/12/665f9698-8caf-11e6-bf8a-3d26847eeed4_story.html?utm_term=.946f2c7aeee7",38.902997,-77.030272,"In the gloom and ugliness of this political season, one encouraging truth is often overlooked: There is a well-qualified, well-prepared candidate on the ballot. Hillary Clinton has the potential to be an excellent president of the United States, and we endorse her without hesitation."
"Star Tribune","Minneapolis, MN",589725,"C","Barack Obama","http://www.startribune.com/star-tribune-editorial-board-endorsement-hillary-clinton-for-president/397983561/",44.977753,-93.2650108,"A vote for Hillary Clinton is a historic choice for a woman who is fiercely committed to using government as a force for good, who is capable of working to strike a pragmatic balance among competing interests and who brings a lifetime of experience to one of the toughest jobs the world has to offer."
"The Denver Post","Denver, CO",573542,"C","Barack Obama","http://www.denverpost.com/2016/10/07/denver-post-endorses-hillary-clinton-for-president/",39.7392358,-104.990251,"Democrat Hillary Clinton, the first woman ever to win a major-party nomination, is without question the most qualified candidate in the race for president and an easy call to make when considering the challenges confronting the nation."
