id,newspaper,city,state,e2016,e2012,circulation,date,link,lat,lng,geocoded.city,combo,blurb
0,New York Daily News,New York,New York,312736,7/28/2016,Hillary Clinton,Mitt Romney,New York Daily News/New York,40.7127837,-74.0059413,,New York Daily News/New York,"Heaven help America were, unthinkably, Clinton to fail. She is all that stands between the United States of America and never-before-seen proof that the Founding Fathers weren’t all that they’ve been cracked up to be."
1,Houston Chronicle,Houston,Texas,925085,7/29/2016,Hillary Clinton,Mitt Romney,Houston Chronicle/Houston,29.7870671,-95.6831234,,Houston Chronicle/Houston,"America's first female president would be in the Oval Office more than a century and a half after a determined group of women launched the women's suffrage movement, almost a century after women in this country won the right to vote. It's a milestone, to be sure. Few could have imagined it would be so consequential."
2,San Francisco Chronicle,San Francisco,California,277909,8/5/2016,Hillary Clinton,Barack Obama,San Francisco Chronicle/San Francisco,37.782373,-122.406453,,San Francisco Chronicle/San Francisco,"This is no ordinary race between a Republican and Democrat, or conservative and liberal, or reformer and defender of the status quo. It is a test of whether American voters have the wisdom to identify and dispel a demagogue with authoritarian instincts who is treating a run for the presidency as if it were a reality TV show where outlandishness is the coin of the realm."
3,Tulsa World,Tulsa,Oklahoma,95063,8/8/2016,No endorsement,Mitt Romney,http://www.tulsaworld.com/opinion/editorials/tulsa-world-editorial-endorsement-for-president-none-of-the-above/article_acd669eb-a7c8-51ec-9675-246a990faa9a.html?mode=jqm,36.1539816,-95.992775,,Tulsa World/Tulsa,"This election, as has been said, is one for the ages: two major party candidates who leave voters with more questions about their character, integrity and policies than anyone can answer."
4,The Caledonian-Record,St. Johnsbury,Vermont,10204,8/9/2016,Gary Johnson,,http://www.caledonianrecord.com/opinion/editorial/editorial-vote-johnson/article_68f5640f-3690-5ffe-8487-12f7d55da62a.html,44.4192627,-72.0151183,,The Caledonian-Record/St. Johnsbury,We believe that Hilary Clinton is corrupt and made her fortune selling access to the halls of government. We think Donald Trump is borderline certifiable and as President would somehow cause a global catastrophe.
5,The Press Democrat,Santa Rosa,California,55300,8/21/2016,Hillary Clinton,No endorsement,The Press Democrat/Santa Rosa,38.440429,-122.7140548,,The Press Democrat/Santa Rosa,"That brings us to the primary purpose for this early endorsement, to call attention to one candidate in particular who has shown himself to be wholly unqualified for this position — Donald Trump.\nIt is rare that we have encountered someone in national politics who has shown, by his actions, his temperament and propensity for loose-cannon remarks, to be so ill-equipped for the all-important task of serving as commander in chief."
6,Richmond Times-Dispatch,Richmond,Virginia,109345,9/3/2016,Gary Johnson,Mitt Romney,Richmond Times-Dispatch/Richmond,37.5407246,-77.4360481,,Richmond Times-Dispatch/Richmond,"In this autumn of our electoral discontent, hope springs, as it so often does in the American republic, from unexpected precincts. Much of the country is distressed by the presidential candidates offered by the two conventional political parties. And for good reason. Neither Donald Trump nor Hillary Clinton meets the fundamental moral and professional standards we have every right to expect of an American president. Fortunately, there is a reasonable — and formidable — alternative."
7,The Berkshire Eagle,Pittsfield,Massachusetts,32612,9/3/2016,Hillary Clinton,Barack Obama,http://www.berkshireeagle.com/editorials/ci_30325048/our-opinion-hillary-clinton-is-clear-choice-us,42.4514383,-73.2520934,,The Berkshire Eagle/Pittsfield,
8,The Dallas Morning News,Dallas,Texas,707792,9/6/2016,Hillary Clinton,Mitt Romney,The Dallas Morning News/Dallas,32.7766642,-96.7969879,,The Dallas Morning News/Dallas,"Trump's values are hostile to conservatism. He plays on fear — exploiting base instincts of xenophobia, racism and misogyny — to bring out the worst in all of us, rather than the best. His serial shifts on fundamental issues reveal an astounding absence of preparedness. And his improvisational insults and midnight tweets exhibit a dangerous lack of judgment and impulse control."
9,Daily Camera,Boulder,Colorado,19459,9/10/2016,Hillary Clinton,Barack Obama,Daily Camera/Boulder,40.0149856,-105.2705456,,Daily Camera/Boulder,"Trump is almost certainly the least knowledgeable, least serious major-party candidate for president in U.S. history. He believes many things that are demonstrably untrue. His campaign has brought into the light, like cockroaches from beneath society's baseboards, some of the kookiest, scariest fringe groups in American politics. For the first time in half a century, avowed white supremacists have been invited into the mainstream of a major party."
10,Winston-Salem Journal,Winston-Salem,North Carolina,62283,9/11/2016,Gary Johnson,Barack Obama,Winston-Salem Journal/Winston-Salem,36.0998596,-80.244216,,Winston-Salem Journal/Winston-Salem,"The inclusion of the Libertarians could set the stage for one of the most exciting races in our history, instead of one of our most depressing. This Libertarian ticket has the potential to transform this race from one about insults and scandals to one about issues and honor."
11,New Hampshire Union Leader,Manchester,New Hampshire,59193,9/15/2016,Gary Johnson,Mitt Romney,http://www.nytimes.com/2016/09/15/us/politics/gary-johnson-union-leader-endorsement.html,43.0037151,-71.4592806,,New Hampshire Union Leader/Manchester,"[Johnson and Weld] would be worth considering under many circumstances. In today’s dark times, they are a bright light of hope and reason."
12,The Repository,Canton,Ohio,60808,9/18/2016,No endorsement,No endorsement,The Repository/Canton,40.7989473,-81.378447,,The Repository/Canton,"This year, however, neither Hillary Clinton nor Donald Trump has shown the ability to inspire, to unify or to put an end to the distrust and divisiveness. We see on the horizon more of the same partisan gridlock of which Americans have grown increasingly weary."
13,Los Angeles Times,Los Angeles,California,965598,9/23/2016,Hillary Clinton,Barack Obama,Los Angeles Times/Los Angeles,34.053009,-118.244596,,Los Angeles Times/Los Angeles,"The election of Hillary Clinton as the first female president of the United States would surely be as exhilarating as it is long overdue, a watershed moment in American history after centuries of discrimination against women. But that’s not the chief reason to vote for her. She deserves America’s support because she is the overwhelmingly better candidate. Against a Romney or a McCain, she would almost certainly be our choice. Against Trump? The question answers itself."
14,The Cincinnati Enquirer,Cincinnati,Ohio,207968,9/23/2016,Hillary Clinton,Mitt Romney,The Cincinnati Enquirer/Cincinnati,39.113913,-84.533257,,The Cincinnati Enquirer/Cincinnati,"The Enquirer has supported Republicans for president for almost a century – a tradition this editorial board doesn’t take lightly. But this is not a traditional race, and these are not traditional times. Our country needs calm, thoughtful leadership to deal with the challenges we face at home and abroad. We need a leader who will bring out the best in all Americans, not the worst."
15,Akron Beacon Journal,Akron,Ohio,88040,9/24/2016,Hillary Clinton,Barack Obama,Akron Beacon Journal/Akron,41.0814447,-81.5190053,,Akron Beacon Journal/Akron,"The focus belongs on the breadth of her record and what Hillary Clinton would bring to the presidency, her appreciation of what it takes to govern and her grasp of how to do so. She is resilient, tested and calm. She knows her way around the partisan battles. The country doesn’t need a revolution. It isn’t a wreck. It requires the right brand of change."
16,The New York Times,New York,New York,1119112,9/24/2016,Hillary Clinton,Barack Obama,The New York Times/New York,40.7560866,-73.9901119,,The New York Times/New York,"In any normal election year, we’d compare the two presidential candidates side by side on the issues. But this is not a normal election year. A comparison like that would be an empty exercise in a race where one candidate — our choice, Hillary Clinton — has a record of service and a raft of pragmatic ideas, and the other, Donald Trump, discloses nothing concrete about himself or his plans while promising the moon and offering the stars on layaway. "
17,Portland Press Herald,Portland,Maine,57500,9/25/2016,Hillary Clinton,,Portland Press Herald/Portland,43.659024,-70.256626,,Portland Press Herald/Portland,"Donald Trump may be the worst major-party candidate in history. He is self-centered, reckless and mean-spirited. He is a salesman who has never sold anything other than himself, and leaves a trail of broken promises, lawsuits and bankruptcies wherever he goes. He is ignorant about government and world affairs but talks as if he knows it all.\nAnd he takes advantage of racial, ethnic and religious tensions to build support for himself. His careless rhetoric has brought nativists and racists out of the shadows and has spread distrust and division. Trump doesn’t have the character or the judgment to be the president of the United States, and in any normal year, his candidacy would be a joke."
